"LOCAL_PROXY_ID","IP_ADDRESS","HOSTNAME","RAG_STATUS","RAG_STATUS_DATE","COURT_SITE_ID","LAST_UPDATE_DATE","CREATION_DATE","CREATED_BY","LAST_UPDATED_BY","VERSION"
12,"10.1.1.2","SXDISPL01","G",06-JUL-23 07:52:51,13,06-JUL-23 07:52:51, 06-JUL-23 07:52:51,"XHIBIT","XHIBIT",1
13,"10.4.5.65","PTDISPL01","G",06-JUL-23 07:52:51,15,06-JUL-23 07:52:51, 06-JUL-23 07:52:51,"XHIBIT","XHIBIT",1
