"COURT_SITE_WELSH_ID","COURT_SITE_NAME","COURT_SITE_ID","LAST_UPDATE_DATE","CREATION_DATE","CREATED_BY","LAST_UPDATED_BY","VERSION"
1,"Llys y Goron yn: Caerdydd",459,31-MAY-23 15:26:01,31-MAY-23 15:26:01,"XHIBIT","XHIBIT",1
2,"Llys y Goron yn: Abertawe",1606,31-MAY-23 15:26:01,31-MAY-23 15:26:01,"XHIBIT","XHIBIT",1
3,"Llys y Goron yn: Casnewydd",460,31-MAY-23 15:26:01,31-MAY-23 15:26:01,"XHIBIT","XHIBIT",1
4,"Llys y Goron yn: Merthyr Tudful",477,31-MAY-23 15:26:01,31-MAY-23 15:26:01,"XHIBIT","XHIBIT",1
5,"Llys y Goron yn: Yr Wyddgrug",643,31-MAY-23 15:26:01,31-MAY-23 15:26:01,"XHIBIT","XHIBIT",1
6,"Llys y Goron yn: Caernarfon",644,31-MAY-23 15:26:01,31-MAY-23 15:26:01,"XHIBIT","XHIBIT",1
7,"Llys y Goron yn: Henffordd",262,31-MAY-23 15:26:01,31-MAY-23 15:26:01,"XHIBIT","XHIBIT",1
